draw,kernel.kernel_efficiency,topology.net_efficiency,parallelism.overlap_dp,parallelism.overlap_tp,reliability.failure_rate_per_node_day,reliability.detect_time_s,reliability.restart_time_s,reliability.checkpoint_write_s,reliability.straggler_cv,sea_bandwidth_2x,sea_bandwidth_4x,sea_flat_fabric,sea_scaleup_2x,sea_reliability_2x,sea_fast_detection,sea_fast_restart,sea_fast_checkpoint,sea_add_spares,sea_straggler_control,winner,winner_sea,recovery_pressure,within_validity_envelope
260,0.46887901043594554,0.7792407069653002,0.6822560567996161,0.12593989973213565,0.003024314256141025,396.41725713689294,161.38888109009613,58.47297093578203,0.024628936578162078,445.6031997183345,676.8763461185263,119.81579442973816,0.0,332.82217605176993,576.7382965944562,151.83330465212566,1497.2980435244062,0.0,1349.8983200709736,fast_checkpoint,1497.2980435244062,0.08538848488401314,True
261,0.6959462045991347,0.9355143342558846,0.8912438613763286,0.025955664082301242,0.014503110080720728,234.2789435732812,308.9844793504186,26.16714459366173,0.03571285620122994,308.4738749445387,466.53324692151364,59.312832837251335,0.0,7410.211469292852,1755.9151952193351,2076.249348372792,2173.5385469749344,0.0,2963.530197117543,reliability_2x,7410.211469292852,0.22447320749855904,True
262,0.6332465359193892,0.7149361742017855,0.6723808417158891,0.19323982112294394,0.011327927798915277,395.75033043560575,864.8067891773417,40.214494131257894,0.016360943051311035,980.3661581444285,1518.9093949938542,258.44754511028077,0.0,21762.48078783373,2859.556506469573,7900.436928410421,3727.3949027185627,0.0,876.7332173981122,reliability_2x,21762.48078783373,0.3228902757233383,False
263,0.4664970719120548,0.914804898318157,0.905504058636429,0.18005084100511887,0.012983320991699705,33.90683905254397,826.7280721162847,49.827978047423926,0.00863507627824212,230.44395640930088,348.1530742186769,41.73282376236966,0.0,13628.067770102596,97.44722194139104,8145.464025764635,4264.42347419573,0.0,0.0,reliability_2x,13628.067770102596,0.295314431388536,False
264,0.6136569998089069,0.8308217319963274,0.6204993399945742,0.21469128727123168,0.01085108397629889,100.74420450919506,217.99250431750926,78.86619138735782,0.010297095490897573,724.2804903913857,1111.3046138263671,199.42682312229226,0.0,5148.176399341279,491.8716631808675,991.1293345712438,4669.771151156918,0.0,31.32162653717387,reliability_2x,5148.176399341279,0.18092945756338083,True
265,0.4541032877866238,0.767914407371748,0.7051723681915643,0.31404458711681354,0.006283863972783799,42.80573450944887,607.4570827770463,81.77151496434823,0.036166396362316416,474.9668072337554,722.676921048278,125.48644989475724,0.0,3132.3985661153856,75.37704325660889,2016.09944066748,3328.34318239439,0.0,2823.5185307298307,fast_checkpoint,3328.34318239439,0.1686910827510341,True
266,0.4510563177162453,0.8361827047386183,0.6426616684421779,0.2000108795611403,0.010616939221460361,205.08119717716573,782.7701183691829,14.36781122734708,0.04649777214301798,566.1698831941612,864.9900718157187,155.11274858239995,0.0,7675.2404736885655,1080.689460476402,5287.243544946894,1011.2803404772858,0.0,4704.5744018330915,reliability_2x,7675.2404736885655,0.24052362549826337,True
267,0.5234454885912284,0.7655115467904098,0.7199256995922995,0.26232373000126225,0.0037198751554297672,312.23912621472573,121.16763225532017,51.37809077268851,0.03599315699507571,461.738810943767,701.9399405839831,120.65799989381048,0.0,659.2433682339179,552.6759641694553,112.98247501644073,1521.62694995938,0.0,2446.163683622188,straggler_control,2446.163683622188,0.08566637722482773,True
268,0.46914030469646434,0.7014048435589754,0.7879485390849306,0.2982195860669217,0.007227225601263174,83.01935286453873,310.0572238072844,78.02537330632212,0.004591911829643575,397.5000122810925,602.4985259552886,96.82867639035976,0.0,2895.5508025735217,237.03546339105014,980.6942908045021,3287.8277814846733,0.0,0.0,fast_checkpoint,3287.8277814846733,0.1480348635828946,True
269,0.5858925232855616,0.804010974600545,0.6721858062474194,0.14632485336177686,0.011612902810293382,318.41771228919714,785.1898058782205,28.30106902742005,0.02128538586170102,761.9381172526737,1171.9228973130666,203.21590057602953,0.0,13621.608971917987,2126.5454386182464,6507.154796571434,2486.0804578701827,0.0,1477.3353673788042,reliability_2x,13621.608971917987,0.2930490965650631,False
270,0.6149482992663051,0.770251064950768,0.7795950114632682,0.25988163194868324,0.002236491791522656,346.67826876529955,155.2673473692611,27.533257335947802,0.0371796307384682,425.1896978462464,645.2067224568673,104.62151110195191,0.0,0.0,355.5282749624603,102.18228598720088,662.2207222417892,0.0,2429.5254085457273,straggler_control,2429.5254085457273,0.05336452470762286,True
271,0.5605188880642488,0.7604664308632862,0.645105491180613,0.24773633513220722,0.014934580772861208,33.47757228186874,889.7961833647587,28.090178013946172,0.0065182175548156255,868.6629118427954,1340.3110036881699,234.07678156451948,0.0,22404.404556024077,112.46889742380154,13225.826399687256,3019.78439672519,0.0,0.0,reliability_2x,22404.404556024077,0.31375169348347287,False
272,0.5711204373047,0.9338342403678331,0.7594135893949935,0.3481767756851015,0.003467558639293582,274.04609362632976,446.0358448345584,7.908273080085225,0.021441097259059336,366.7095436170857,555.1128217107143,92.5876423884074,0.0,455.13965026014193,426.06093407057415,655.3711494232775,158.38057347279755,0.0,1029.7216933864256,straggler_control,1029.7216933864256,0.07403491702928001,True
273,0.67174080962238,0.8608235263829757,0.81097250590397,0.3043606918712688,0.013825210702063391,44.47555200767584,158.59170791421545,33.85888016300156,0.03008683270651205,419.76713917284724,636.8801854066514,98.72982252699876,0.0,3712.0229352638453,174.54728932600483,724.7778692454849,2378.6984701581605,0.0,2007.0895263499588,reliability_2x,3712.0229352638453,0.13953531677185552,True
274,0.5292585495697777,0.8905396719902788,0.9055134917962824,0.31341483228411454,0.012970662543690184,236.28452199096242,412.96545214721,60.96547490554519,0.0059449996803654205,254.84381645938993,385.29333042656435,46.096986802771426,0.0,10243.120489895748,1657.36808797095,2906.709815032533,4726.696872910266,0.0,0.0,reliability_2x,10243.120489895748,0.26378945793447744,False
275,0.6318715860091427,0.7518130748456231,0.7254406802500416,0.20954036935406464,0.009144606704806504,118.9565236224181,480.4141956006502,14.793557361076862,0.04790195749960057,603.4581644225727,922.4370019800226,156.0396879627333,0.0,3430.639854504763,465.49631503728597,2178.17787299852,843.9283007102167,0.0,4126.2987629404015,straggler_control,4126.2987629404015,0.15523006341932022,True
276,0.5810903621411857,0.8310394342802283,0.6578836717598014,0.070885052548715,0.0032483228377533447,54.59122417159855,807.3997139814036,56.436790375415136,0.02449183198797422,558.1232433727127,851.904403875913,151.78588380178553,0.0,599.1966658841302,56.087378949559934,1298.2250717961433,1579.6630544216423,0.0,1393.6133456015523,fast_checkpoint,1579.6630544216423,0.10985397000884627,True
277,0.5107997586563363,0.7798879628087099,0.6166601399139675,0.04234528470777693,0.008515579562445858,124.99750274415955,386.93396332884413,85.50697141770353,0.00254687003402882,646.408302468968,989.6540738095282,178.92618370264972,0.0,4721.469405560227,494.1054878946816,1643.4792874730738,4322.206386139689,0.0,0.0,reliability_2x,4721.469405560227,0.1897877102573974,True
278,0.6960390320886033,0.92109367087976,0.9212459608250161,0.14240924172881422,0.0036384894137742926,47.35381767209647,888.3075295751017,14.51849127475219,0.01140243774382433,222.1267774518892,335.39308749273914,36.74004202935612,0.0,704.9492435139364,46.58464513854415,1531.8443428283135,452.3119193085877,0.0,126.00691279316015,fast_restart,1531.8443428283135,0.09988641236695889,True
279,0.550303962565024,0.7279976684719309,0.8714007939456946,0.026162641941132908,0.0026705633715534663,288.6794045317054,290.54459951193473,61.314831868193025,0.03142673291149413,281.52100395121306,425.5954653713343,58.13499697211955,0.0,109.74085513387035,351.06617152256877,300.35552257572635,1409.3261092440043,0.0,1934.89430638239,straggler_control,1934.89430638239,0.08051334974136301,True
280,0.6439932692783606,0.9284252948293319,0.6412382583578424,0.13353635542431525,0.009577915151276048,154.68952985215847,745.3742824678486,39.410614030073035,0.002134233362982052,702.4001174671357,1077.6391715270656,191.41051689120286,0.0,7174.156822936515,711.6241490341126,4457.049241215958,2675.4243339304994,0.0,0.0,reliability_2x,7174.156822936515,0.23623325329949002,True
281,0.6117804966929157,0.8315962500104052,0.9113324002045354,0.09758740923747808,0.010014350552891743,274.83755353545644,256.3785180089271,44.5506314340486,0.03673158301937303,259.85593710650573,392.8485172341898,45.56869270558309,0.0,4666.614453422066,1402.1489102691703,1060.3608506309029,2666.3509774737868,0.0,2871.0236070939864,reliability_2x,4666.614453422066,0.18615503252383575,True
282,0.5517570435544603,0.9001654170504204,0.9432999399846737,0.31776920572348194,0.009700729536644687,144.6536308503999,488.87479460473736,29.837462471421876,0.04171411242337584,183.70174938167474,276.9978111519995,25.33923067585056,0.0,4510.21142985858,624.569293930057,2373.3552757701254,1836.6238443372931,0.0,3432.593338362567,reliability_2x,4510.21142985858,0.18625242068046044,True
283,0.6922414608184836,0.9364483538924155,0.7506004667028475,0.1730752253455398,0.0062248875952995875,42.907760645525585,727.3073102882653,79.19570045685323,0.048238929964992364,514.205000979222,783.8442272751308,130.33704135044536,0.0,3400.7850370920423,75.0973344116137,2511.0227454000305,3297.134596288972,0.0,4325.6890642225735,straggler_control,4325.6890642225735,0.18039896559391003,True
284,0.4538025514257441,0.7826695099490304,0.7803746978577093,0.2725317376792304,0.007238140051121868,364.2829245331785,543.5905084242902,69.0386539434557,0.04979258692965294,397.20923602046605,602.2220022491201,97.70910040552917,0.0,4908.698844257804,1424.7950309540647,2074.988789229941,3410.8560384725497,0.0,4780.204493994843,reliability_2x,4908.698844257804,0.2127547111644921,True
285,0.510662282168058,0.8167224297646148,0.676382169403918,0.09599910814808447,0.012958471287862133,59.29079783325784,711.6715490747393,57.034403698822935,0.03324793500613974,642.4521755120586,984.3194377808322,171.8803860733351,0.0,13704.26313297628,291.16451237540605,6885.3566293236545,4970.031265102771,0.0,3153.4349239497533,reliability_2x,13704.26313297628,0.28434817092057457,False
286,0.5272717076556931,0.7573452899154308,0.9416286095331802,0.28160433858020045,0.005912178457118113,65.99338041187711,806.3212332164147,17.930118779129273,0.033428224309944625,195.71924468400175,295.2558819727092,27.44586581872136,0.0,2216.2064440530557,131.10210431918313,2418.9491938745996,793.8256173788359,0.0,2322.1499406776093,fast_restart,2418.9491938745996,0.14454683987702388,True
