intervention,baseline_pool,baseline_productive_accelerators,treated_productive_accelerators,delta_productive_accelerators,sea,sea_fraction_of_pool,attainable_by_scaling,best_throughput_by_scaling,naive_equivalent,baseline_ucf,treated_ucf,cost_accelerator_equivalents,regime,n_accelerators,description,recovery_pressure,within_validity_envelope
straggler_control,16876.0,11071.433940784515,11538.60118869071,467.1672479061963,942.6548202210652,0.05585771629657888,1.0,41691.30085432266,467.16724790619554,0.6560460974629364,0.6837284420888072,,reliable_oversubscribed,16384,Halve per-rank timing jitter through placement and tuning,0.048979075353549784,True
bandwidth_2x,67503.0,29343.39264805296,30238.348665006903,894.9560169539436,5518.093756404443,0.08174590398062966,1.0,41686.49951040837,894.956016953951,0.43469760822560416,0.4479556266389183,,reliable_oversubscribed,65536,"Double per-accelerator scale-out bandwidth, 400 to 800 Gbps",0.14000366929553956,True
bandwidth_4x,67503.0,29343.39264805296,30706.61541513488,1363.2227670819193,8405.319252700487,0.12451771406753014,1.0,41686.49951040837,1363.222767081926,0.43469760822560416,0.454892603515916,,reliable_oversubscribed,65536,"Quadruple per-accelerator scale-out bandwidth, 400 to 1600 Gbps",0.14000366929553956,True
flat_fabric,67503.0,29343.39264805296,29641.09994360733,297.7072955543699,1835.5949764167744,0.02719279108212634,1.0,41686.49951040837,297.70729555436714,0.43469760822560416,0.43910789066570866,,reliable_oversubscribed,65536,"Remove cross-pod oversubscription, 1:7 to 1:1",0.14000366929553956,True
scaleup_2x,67503.0,29343.39264805296,29343.39264805296,0.0,0.0,0.0,1.0,41686.49951040837,0.0,0.43469760822560416,0.43469760822560416,,reliable_oversubscribed,65536,"Double the scale-up domain, 8 to 16 accelerators",0.14000366929553956,True
reliability_2x,67503.0,29343.39264805296,29343.39264805296,0.0,0.0,0.0,1.0,41686.49951040837,0.0,0.43469760822560416,0.43469760822560416,,reliable_oversubscribed,65536,Halve the node failure rate through hardware and firmware work,0.14000366929553956,True
fast_detection,67503.0,29343.39264805296,29989.900885961037,646.5082379080777,3986.2216728894273,0.059052511338598686,1.0,41686.49951040837,646.508237908069,0.43469760822560416,0.4442750823809466,,reliable_oversubscribed,65536,Cut failure detection from 120 s to 20 s with finer telemetry,0.14000366929553956,True
fast_restart,67503.0,29343.39264805296,30944.39616849233,1601.0035204393716,9871.420899752076,0.14623677317677847,1.0,41686.49951040837,1601.0035204393776,0.43469760822560416,0.45841512478693286,,reliable_oversubscribed,65536,Cut restart and reinitialization from 300 s to 60 s,0.14000366929553956,True
fast_checkpoint,67503.0,29343.39264805296,30844.980658602508,1501.588010549549,9258.447642943385,0.13715609147657712,1.0,41686.49951040837,1501.5880105495512,0.43469760822560416,0.45694236787405756,,reliable_oversubscribed,65536,Cut blocking checkpoint write from 20 s to 5 s with faster storage,0.14000366929553956,True
add_spares,67503.0,29343.39264805296,29343.39264805296,0.0,0.0,0.0,1.0,41686.49951040837,0.0,0.43469760822560416,0.43469760822560416,,reliable_oversubscribed,65536,Hold 5 percent of the pool as hot spares instead of 3 percent,0.14000366929553956,True
straggler_control,67503.0,29343.39264805296,30663.202536376837,1319.809888323878,8137.645388639954,0.12055235157904025,1.0,41686.49951040837,1319.8098883238722,0.43469760822560416,0.4542494783398788,,reliable_oversubscribed,65536,Halve per-rank timing jitter through placement and tuning,0.14000366929553956,True
bandwidth_2x,4219.0,3116.829539090446,3139.7054311227284,22.875892032282536,34.34803871764052,0.008141274879744139,1.0,31560.50269967004,22.87589203228259,0.7387602605097051,0.7441823728662547,,typical,4096,"Double per-accelerator scale-out bandwidth, 400 to 800 Gbps",0.029691787829571267,True
bandwidth_4x,4219.0,3116.829539090446,3151.269763720221,34.440224629775,51.71182690311525,0.012256891894552086,1.0,31560.50269967004,34.440224629774875,0.7387602605097051,0.7469233855700926,,typical,4096,"Quadruple per-accelerator scale-out bandwidth, 400 to 1600 Gbps",0.029691787829571267,True
flat_fabric,4219.0,3116.829539090446,3118.316839046441,1.4872999559952405,2.2331735261377617,0.0005293134691011524,1.0,31560.50269967004,1.4872999559949946,0.7387602605097051,0.7391127847941316,,typical,4096,"Remove cross-pod oversubscription, 1:7 to 1:1",0.029691787829571267,True
scaleup_2x,4219.0,3116.829539090446,3116.829539090446,0.0,0.0,0.0,1.0,31560.50269967004,0.0,0.7387602605097051,0.7387602605097051,,typical,4096,"Double the scale-up domain, 8 to 16 accelerators",0.029691787829571267,True
reliability_2x,4219.0,3116.829539090446,3168.5319522315913,51.70241314114537,77.63091755553705,0.018400312290954506,1.0,31560.50269967004,51.275746474479085,0.7387602605097051,0.7510149211262365,,typical,4096,Halve the node failure rate through hardware and firmware work,0.029691787829571267,True
fast_detection,4219.0,3116.829539090446,3125.9778500358248,9.148310945378853,13.736143627074853,0.003255781850456234,1.0,31560.50269967004,9.148310945378226,0.7387602605097051,0.7409286205346823,,typical,4096,Cut failure detection from 120 s to 20 s with finer telemetry,0.029691787829571267,True
fast_restart,4219.0,3116.829539090446,3138.8760787126603,22.046539622214368,33.102770176794365,0.007846117605307979,1.0,31560.50269967004,22.046539622213185,0.7387602605097051,0.7439857972772363,,typical,4096,Cut restart and reinitialization from 300 s to 60 s,0.029691787829571267,True
fast_checkpoint,4219.0,3116.829539090446,3171.419334409221,54.58979531877503,81.96630761114193,0.019427899410083414,1.0,31560.50269967004,54.589795318774605,0.7387602605097051,0.7516992970868028,,typical,4096,Cut blocking checkpoint write from 20 s to 5 s with faster storage,0.029691787829571267,True
add_spares,4219.0,3116.829539090446,3116.829539090446,0.0,0.0,0.0,1.0,31560.50269967004,0.0,0.7387602605097051,0.7387602605097051,,typical,4096,Hold 5 percent of the pool as hot spares instead of 3 percent,0.029691787829571267,True
straggler_control,4219.0,3116.829539090446,3238.9728469273373,122.14330783689138,183.39757246456975,0.04346944120990039,1.0,31560.50269967004,122.14330783689095,0.7387602605097051,0.76771103269195,,typical,4096,Halve per-rank timing jitter through placement and tuning,0.029691787829571267,True
