oversubscription,failure_rate_per_node_day,n_pool,productive_accelerators,productive_per_pool
4.0,0.005,8834,6123.036624211393,0.6931216463902414
4.0,0.005,9493,6524.309278625313,0.6872758115058794
4.0,0.005,10152,6918.247524083339,0.68146646218315
4.0,0.005,10811,7306.603019846352,0.675848951979128
4.0,0.005,11602,7764.469479993831,0.6692354318215679
4.0,0.005,12393,8213.656821582576,0.6627658211556988
4.0,0.005,13316,8726.208353850641,0.65531753933994
4.0,0.005,14239,9228.311913720987,0.6481011246380355
4.0,0.005,15294,9788.863404501146,0.6400459921865532
4.0,0.005,16349,10334.886936893668,0.6321418396778805
4.0,0.005,17403,10868.297059451557,0.6245070998937859
4.0,0.005,18722,11516.941380122851,0.6151555058285895
4.0,0.005,20040,12145.347810924712,0.6060552799862631
4.0,0.005,21359,12755.720999556264,0.5972059084955412
4.0,0.005,22941,13463.606654764508,0.5868796763333991
4.0,0.005,24523,14147.19141460831,0.576894809550557
4.0,0.005,26237,14860.018770436034,0.566376444350956
4.0,0.005,28082,15598.326593988695,0.5554563989028094
4.0,0.005,30060,16355.64431245449,0.5440999438607614
4.0,0.005,32038,17080.409064278967,0.5331296917497649
4.0,0.005,34411,17910.01974093797,0.5204736782115593
4.0,0.005,36784,18696.768273061167,0.5082853488761735
4.0,0.005,39289,19483.997425666166,0.4959148215955144
4.0,0.005,42057,20305.421582559946,0.4828071803162362
4.0,0.005,44958,21114.40922010572,0.46964743138275106
4.0,0.005,48122,21940.642858650768,0.455937884099804
4.0,0.005,51550,22773.89440879623,0.4417826267467746
4.0,0.005,55110,23575.924030121034,0.4277975690459269
4.0,0.005,59065,24397.15806230231,0.41305609180229086
4.0,0.005,63152,25174.44540626106,0.3986325913076555
4.0,0.005,67503,25928.301636248427,0.38410591582964354
4.0,0.005,72249,26672.52803572473,0.3691750478999672
4.0,0.005,77391,27394.10139324374,0.35397011788507377
4.0,0.005,82796,28067.23117690283,0.3389925983972998
4.0,0.005,88597,28702.295609471974,0.32396464450796275
4.0,0.005,94793,29290.422161245464,0.30899351388019647
4.0,0.005,101385,29825.02719054202,0.29417593520286056
4.0,0.005,108505,30309.805817808636,0.27934017619288176
4.0,0.005,116152,30735.95375359222,0.26461837724354487
4.0,0.005,124194,31091.596200827422,0.2503470071084547
4.0,0.005,132895,31384.42183193826,0.23615953822143992
4.0,0.005,135005,31442.322762385025,0.23289746870401115
4.0,0.015,4219,2964.6173740157833,0.7026824778420914
4.0,0.015,4351,3047.735200523527,0.7004677546595098
4.0,0.015,4483,3130.37017009728,0.69827574617383
4.0,0.015,4615,3212.5270889024177,0.6961055447242509
4.0,0.015,4747,3294.2106213105176,0.6939563137372061
4.0,0.015,4879,3375.425299187729,0.6918272800138817
4.0,0.015,5010,3456.175530289339,0.6898553952673331
4.0,0.015,5142,3536.465605869119,0.6877607168162425
4.0,0.015,5274,3616.2997075968965,0.6856844345083232
4.0,0.015,5406,3695.6819138639885,0.6836259552097648
4.0,0.015,5538,3774.6162055453974,0.681584724728313
4.0,0.015,5670,3853.1064712784864,0.6795602242113733
4.0,0.015,5801,3931.156512309917,0.6776687661282395
4.0,0.015,5933,4008.770046955846,0.6756733603498813
4.0,0.015,6065,4085.9507147150516,0.6736934401838502
4.0,0.015,6197,4162.702080069588,0.6717285912650618
4.0,0.015,6329,4239.027636003412,0.6697784225001442
4.0,0.015,6724,4464.740536935153,0.6640006747375301
4.0,0.015,7252,4760.812507840207,0.6564826955102326
4.0,0.015,7779,5050.4763607640925,0.6492449364653673
4.0,0.015,8306,5333.91831855434,0.6421765372687623
4.0,0.015,8834,5611.313684810173,0.6351951194034609
4.0,0.015,9493,5949.806530224652,0.6267572453623357
4.0,0.015,10152,6278.643409976289,0.6184636928660647
4.0,0.015,10811,6599.566771078325,0.6104492434629845
4.0,0.015,11602,6973.7035483577265,0.601077706288375
4.0,0.015,12393,7336.28828481788,0.591970328799958
4.0,0.015,13316,7744.521952855137,0.5815952202504608
4.0,0.015,14239,8138.868280337689,0.5715898785264196
4.0,0.015,15294,8572.49321722041,0.5605134835373617
4.0,0.015,16349,8988.018762660977,0.5497595426424232
4.0,0.015,17403,9387.512174341637,0.5394191906189528
4.0,0.015,18722,9864.55735055826,0.5268965575557237
4.0,0.015,20040,10317.344898215912,0.5148375697712531
4.0,0.015,21359,10748.381428234814,0.5032249369462435
4.0,0.015,22941,11237.085197530676,0.4898254303443911
4.0,0.015,24523,11697.61819462763,0.47700600230916407
4.0,0.015,26237,12165.475180039011,0.4636763036947445
4.0,0.015,28082,12636.689158133271,0.44999249192127594
