circuit_gbps,placement,regime,alpha_us,cut,applicable,retention,step_ratio,reason
400.0,blind,scale-up,0.5,pp,True,0.09326214639573274,10.722463921822794,
400.0,blind,scale-up,0.5,dp,True,0.3621157468656984,2.761547954364106,
400.0,blind,scale-up,0.5,checkpoint,True,0.8803738536221919,1.0,
400.0,blind,rail,3.0,tp,True,0.0006209871561712152,1610.339263964238,
400.0,blind,rail,3.0,cp,False,,,cp has degree 1 in this job
400.0,blind,rail,3.0,pp,True,0.09326203733231377,10.722476460993162,
400.0,blind,rail,3.0,dp,True,0.36210269622867186,2.76164748402892,
400.0,blind,rail,3.0,checkpoint,True,0.8803738521604767,1.0,
400.0,blind,campus-stitch,40.0,tp,True,0.0006209713766685076,1610.3801842928244,
400.0,blind,campus-stitch,40.0,cp,False,,,cp has degree 1 in this job
400.0,blind,campus-stitch,40.0,pp,True,0.09326042322353677,10.722662040714642,
400.0,blind,campus-stitch,40.0,dp,True,0.3619096567273876,2.7631205230681672,
400.0,blind,campus-stitch,40.0,checkpoint,True,0.8803738305270892,1.0,
400.0,blind,metro,500.0,tp,True,0.0006207752660060277,1610.8889235130866,
400.0,blind,metro,500.0,cp,False,,,cp has degree 1 in this job
400.0,blind,metro,500.0,pp,True,0.0932403605894374,10.72496924806277,
400.0,blind,metro,500.0,dp,True,0.3595267788807421,2.781433981393937,
400.0,blind,metro,500.0,checkpoint,True,0.880373561571708,1.0,
400.0,blind,region,40000.0,tp,True,0.0006043851262561302,1654.5741391660483,
400.0,blind,region,40000.0,cp,False,,,cp has degree 1 in this job
400.0,blind,region,40000.0,pp,True,0.09154920176337335,10.92308813991294,
400.0,blind,region,40000.0,dp,True,0.22967372145650877,4.354002685454639,
400.0,blind,region,40000.0,checkpoint,True,0.8803504681958952,1.0,
800.0,hierarchical,scale-up,0.5,tp,True,0.008624748172141154,115.94541429396226,
800.0,hierarchical,scale-up,0.5,cp,False,,,cp has degree 1 in this job
800.0,hierarchical,scale-up,0.5,pp,True,0.7554210236385663,1.3237651173426346,
800.0,hierarchical,scale-up,0.5,dp,True,0.9823300408109377,1.0179878029327856,
800.0,hierarchical,scale-up,0.5,checkpoint,True,0.8803738536221919,1.0,
800.0,hierarchical,rail,3.0,tp,True,0.008624718790860337,115.94580927782891,
800.0,hierarchical,rail,3.0,cp,False,,,cp has degree 1 in this job
800.0,hierarchical,rail,3.0,pp,True,0.7554205465978984,1.323765953287326,
800.0,hierarchical,rail,3.0,dp,True,0.9823292845645082,1.0179885866309335,
800.0,hierarchical,rail,3.0,checkpoint,True,0.8803738521604767,1.0,
800.0,hierarchical,campus-stitch,40.0,tp,True,0.008624283971308334,115.95165503905555,
800.0,hierarchical,campus-stitch,40.0,cp,False,,,cp has degree 1 in this job
800.0,hierarchical,campus-stitch,40.0,pp,True,0.755413486466457,1.323778325268758,
800.0,hierarchical,campus-stitch,40.0,dp,True,0.9823180922534916,1.018000185363526,
800.0,hierarchical,campus-stitch,40.0,checkpoint,True,0.8803738305270892,1.0,
800.0,hierarchical,metro,500.0,tp,True,0.00861888176518166,116.02433207052158,
800.0,hierarchical,metro,500.0,cp,False,,,cp has degree 1 in this job
800.0,hierarchical,metro,500.0,pp,True,0.755325722877202,1.3239321390919667,
800.0,hierarchical,metro,500.0,dp,True,0.9821789658957641,1.018144385822784,
800.0,hierarchical,metro,500.0,checkpoint,True,0.880373561571708,1.0,
800.0,hierarchical,region,40000.0,tp,True,0.008178950385483115,122.26507716380186,
800.0,hierarchical,region,40000.0,cp,False,,,cp has degree 1 in this job
800.0,hierarchical,region,40000.0,pp,True,0.7478648093900143,1.3371400652153111,
800.0,hierarchical,region,40000.0,dp,True,0.9703774651248573,1.0305268165634196,
800.0,hierarchical,region,40000.0,checkpoint,True,0.8803504681958952,1.0,
800.0,blind,scale-up,0.5,tp,True,0.0012412740417585535,805.6238722138,
800.0,blind,scale-up,0.5,cp,False,,,cp has degree 1 in this job
800.0,blind,scale-up,0.5,pp,True,0.17075112579737733,5.856476760139519,
800.0,blind,scale-up,0.5,dp,True,0.5340831881306118,1.8723674929746086,
800.0,blind,scale-up,0.5,checkpoint,True,0.8803738536221919,1.0,
800.0,blind,rail,3.0,tp,True,0.0012412697817423299,805.6266371008667,
800.0,blind,rail,3.0,cp,False,,,cp has degree 1 in this job
800.0,blind,rail,3.0,pp,True,0.17075076020677388,5.856489299309889,
800.0,blind,rail,3.0,dp,True,0.5340547993151856,1.8724670226394227,
800.0,blind,rail,3.0,checkpoint,True,0.8803738521604767,1.0,
800.0,blind,campus-stitch,40.0,tp,True,0.0012412067369208465,805.667557429453,
800.0,blind,campus-stitch,40.0,cp,False,,,cp has degree 1 in this job
800.0,blind,campus-stitch,40.0,pp,True,0.170745349648876,5.85667487903137,
800.0,blind,campus-stitch,40.0,dp,True,0.5336349974311362,1.8739400616786694,
800.0,blind,campus-stitch,40.0,checkpoint,True,0.8803738305270892,1.0,
800.0,blind,metro,500.0,tp,True,0.0012404234708410205,806.1762966497151,
800.0,blind,metro,500.0,cp,False,,,cp has degree 1 in this job
800.0,blind,metro,500.0,pp,True,0.17067811187283224,5.8589820863794975,
800.0,blind,metro,500.0,dp,True,0.5284704134135545,1.8922535200044395,
800.0,blind,metro,500.0,checkpoint,True,0.880373561571708,1.0,
800.0,blind,region,40000.0,tp,True,0.0011766622979437283,849.861512302677,
800.0,blind,region,40000.0,cp,False,,,cp has degree 1 in this job
800.0,blind,region,40000.0,pp,True,0.1650954810880954,6.057100978229665,
800.0,blind,region,40000.0,dp,True,0.2886150963401345,3.4648222240651414,
800.0,blind,region,40000.0,checkpoint,True,0.8803504681958952,1.0,
1600.0,hierarchical,scale-up,0.5,tp,True,0.017103975131670557,58.46594094657861,
1600.0,hierarchical,scale-up,0.5,cp,False,,,cp has degree 1 in this job
1600.0,hierarchical,scale-up,0.5,pp,True,0.8609070784320898,1.1615655452865254,
1600.0,hierarchical,scale-up,0.5,dp,True,0.9914216498264928,1.0086525749916884,
1600.0,hierarchical,scale-up,0.5,checkpoint,True,0.8803738536221919,1.0,
1600.0,hierarchical,rail,3.0,tp,True,0.017103859581514638,58.466335930445275,
1600.0,hierarchical,rail,3.0,cp,False,,,cp has degree 1 in this job
1600.0,hierarchical,rail,3.0,pp,True,0.8609064588629343,1.1615663812312167,
1600.0,hierarchical,rail,3.0,dp,True,0.9914208795169467,1.0086533586898365,
1600.0,hierarchical,rail,3.0,checkpoint,True,0.8803738521604767,1.0,
1600.0,hierarchical,campus-stitch,40.0,tp,True,0.01710214962173078,58.47218169167189,
1600.0,hierarchical,campus-stitch,40.0,cp,False,,,cp has degree 1 in this job
1600.0,hierarchical,campus-stitch,40.0,pp,True,0.8608972893436966,1.1615787532126487,
1600.0,hierarchical,campus-stitch,40.0,dp,True,0.991409479075617,1.0086649574224291,
1600.0,hierarchical,campus-stitch,40.0,checkpoint,True,0.8803738305270892,1.0,
1600.0,hierarchical,metro,500.0,tp,True,0.017080919175653974,58.54485872313794,
1600.0,hierarchical,metro,500.0,cp,False,,,cp has degree 1 in this job
1600.0,hierarchical,metro,500.0,pp,True,0.8607833062229496,1.1617325670358576,
1600.0,hierarchical,metro,500.0,dp,True,0.9912677657484943,1.0088091578816871,
1600.0,hierarchical,metro,500.0,checkpoint,True,0.880373561571708,1.0,
1600.0,hierarchical,region,40000.0,tp,True,0.015435527973678875,64.7856038164182,
1600.0,hierarchical,region,40000.0,cp,False,,,cp has degree 1 in this job
1600.0,hierarchical,region,40000.0,pp,True,0.8511069333487532,1.1749404931592018,
1600.0,hierarchical,region,40000.0,dp,True,0.9792481755055269,1.0211915886223226,
1600.0,hierarchical,region,40000.0,checkpoint,True,0.8803504681958952,1.0,
1600.0,blind,scale-up,0.5,tp,True,0.002479743233053618,403.2675587821143,
